Indice,Fecha,Precio_apertura,Precio_maximo,Precio_minimo,Precio_cierre,Precio_ajustado,Volumen
NYA,1/1/2005,6.969,6.969,6.969,6.969,6.969,1880700000
NYA,2/1/2005,6.895,6.895,6.895,6.895,6.895,2169400000
NYA,3/1/2005,6.774,6.774,6.774,6.774,6.774,1430800000
NYA,4/1/2005,6.759,6.759,6.759,6.759,6.759,1115500000
NYA,5/1/2005,6.755,6.755,6.755,6.755,6.755,1191300000
NYA,6/1/2005,6.802,6.802,6.802,6.802,6.802,1296500000
NYA,7/1/2005,6.835,6.835,6.835,6.835,6.835,1411200000
NYA,8/1/2005,6.813,6.813,6.813,6.813,6.813,1276000000
NYA,9/1/2005,6.875,6.875,6.875,6.875,6.875,1205700000
NYA,10/1/2005,6.852,6.852,6.852,6.852,6.852,1349100000
NYA,11/1/2005,6.837,6.837,6.837,6.837,6.837,1407800000
NYA,12/1/2005,6.854,6.854,6.854,6.854,6.854,1164000000
NYA,13/1/2005,6.928,6.928,6.928,6.928,6.928,1232600000
NYA,14/1/2005,6.939,6.939,6.939,6.939,6.939,1309000000
NYA,15/1/2005,6.961,6.961,6.961,6.961,6.961,1258000000
NYA,16/1/2005,6.931,6.931,6.931,6.931,6.931,1084500000
NYA,17/1/2005,6.959,6.959,6.959,6.959,6.959,1053100000
NYA,18/1/2005,7.023,7.023,7.023,7.023,7.023,1149800000
NYA,19/1/2005,7.017,7.017,7.017,7.017,7.017,1295300000
NYA,20/1/2005,7.048,7.048,7.048,7.048,7.048,1118800000
NYA,21/1/2005,6.981,6.981,6.981,6.981,6.981,1048400000
NYA,22/1/2005,7.003,7.003,7.003,7.003,7.003,1059600000
NYA,23/1/2005,6.974,6.974,6.974,6.974,6.974,1158300000
NYA,24/1/2005,6.908,6.908,6.908,6.908,6.908,1075500000
NYA,25/1/2005,6.989,6.989,6.989,6.989,6.989,1012300000
NYA,26/1/2005,6.955,6.955,6.955,6.955,6.955,1075200000
NYA,27/1/2005,6.894,6.894,6.894,6.894,6.894,1150300000
NYA,28/1/2005,6.851,6.851,6.851,6.851,6.851,1257200000
NYA,29/1/2005,6.781,6.781,6.781,6.781,6.781,1112200000
NYA,30/1/2005,6.659,6.659,6.659,6.659,6.659,1208500000
NYA,31/1/2005,6.636,6.636,6.636,6.636,6.636,1365900000
NYA,1/2/2005,6.587,6.587,6.587,6.587,6.587,1231300000
NYA,2/2/2005,6.709,6.709,6.709,6.709,6.709,1130800000
NYA,3/2/2005,6.698,6.698,6.698,6.698,6.698,1114100000
NYA,4/2/2005,6.629,6.629,6.629,6.629,6.629,1225300000
NYA,5/2/2005,6.610,6.610,6.610,6.610,6.610,1294900000
NYA,6/2/2005,6.628,6.628,6.628,6.628,6.628,1294000000
NYA,7/2/2005,6.649,6.649,6.649,6.649,6.649,929200000
